56557;Sliding Two Fingers Right
23595;Zooming Out With Two Fingers
136859;Thumb Up
119263;Zooming In With Two Fingers
118480;Doing other things
20706;No gesture
63763;Zooming Out With Two Fingers
82219;Zooming Out With Two Fingers
39493;No gesture
47266;Zooming In With Two Fingers
90655;Sliding Two Fingers Left
108343;Sliding Two Fingers Right
33632;Doing other things
28883;No gesture
43754;Zooming In With Two Fingers
95986;Doing other things
5119;Zooming In With Two Fingers
84768;Sliding Two Fingers Left
119336;Sliding Two Fingers Left
97070;Sliding Two Fingers Left
120723;Doing other things
64989;Zooming Out With Two Fingers
12133;No gesture
123985;No gesture
2720;Thumb Up
129472;Zooming Out With Two Fingers
102678;No gesture
119578;Sliding Two Fingers Right
128439;Sliding Two Fingers Left
6458;Doing other things
10504;No gesture
72381;Doing other things
72772;Sliding Two Fingers Left
127712;Thumb Up
22613;Thumb Up
1289;Sliding Two Fingers Left
100741;Sliding Two Fingers Left
114674;No gesture
52944;Zooming Out With Two Fingers
114827;No gesture
51861;Zooming In With Two Fingers
108964;Thumb Up
82864;Zooming In With Two Fingers
131638;Doing other things
126147;Doing other things
43404;Doing other things
88051;No gesture
51084;No gesture
55697;Doing other things
61910;Zooming In With Two Fingers
21234;Zooming Out With Two Fingers
93110;Thumb Up
6022;No gesture
23903;No gesture
25891;Doing other things
83147;Zooming Out With Two Fingers
136771;Thumb Up
142912;Zooming Out With Two Fingers
60926;Sliding Two Fingers Right
33220;No gesture
55998;Zooming In With Two Fingers
110455;Sliding Two Fingers Right
84841;Zooming In With Two Fingers
52825;Thumb Up
84237;No gesture
116729;Zooming Out With Two Fingers
31082;Sliding Two Fingers Right
125509;Doing other things
56683;No gesture
84901;Doing other things
140123;Zooming In With Two Fingers
8466;No gesture
67863;Thumb Up
45915;Zooming Out With Two Fingers
134801;No gesture
94725;No gesture
55450;Zooming Out With Two Fingers
123453;Sliding Two Fingers Left
68138;Doing other things
84437;Sliding Two Fingers Left
53151;Thumb Up
66147;Thumb Up
59226;Zooming In With Two Fingers
105706;Sliding Two Fingers Right
105959;Doing other things
835;Sliding Two Fingers Right
22459;Thumb Up
110056;Zooming In With Two Fingers
144993;No gesture
3050;Zooming In With Two Fingers
114831;Doing other things
60958;Zooming Out With Two Fingers
112490;Zooming In With Two Fingers
25107;Sliding Two Fingers Right
30433;Zooming Out With Two Fingers
101212;Sliding Two Fingers Right
22724;No gesture
36544;Zooming Out With Two Fingers
41307;Doing other things
100498;Zooming In With Two Fingers
61318;Sliding Two Fingers Right
130343;Zooming In With Two Fingers
4777;Doing other things
53895;Sliding Two Fingers Left
176;Sliding Two Fingers Left
79950;Doing other things
48306;Thumb Up
24652;Sliding Two Fingers Right
63000;Doing other things
102451;Thumb Up
36169;Thumb Up
25315;Zooming In With Two Fingers
49703;Doing other things
18931;Thumb Up
89831;Zooming In With Two Fingers
70657;Sliding Two Fingers Left
47086;Thumb Up
37973;Doing other things
132650;Thumb Up
44405;Zooming Out With Two Fingers
18870;Doing other things
86691;Doing other things
89031;Zooming In With Two Fingers
3720;Sliding Two Fingers Left
25100;Thumb Up
11790;Doing other things
53945;Sliding Two Fingers Left
109777;Zooming Out With Two Fingers
130832;Zooming In With Two Fingers
34592;Sliding Two Fingers Right
125940;Thumb Up
78455;Doing other things
47572;No gesture
2912;Zooming Out With Two Fingers
130848;No gesture
10185;Thumb Up
147247;Zooming In With Two Fingers
29992;Doing other things
86811;Zooming Out With Two Fingers
11332;Doing other things
14299;No gesture
100039;Sliding Two Fingers Right
17617;Zooming In With Two Fingers
92517;Sliding Two Fingers Left
42113;Doing other things
3094;Doing other things
113916;Sliding Two Fingers Left
47344;Thumb Up
140869;Sliding Two Fingers Right
7050;Zooming Out With Two Fingers
117454;No gesture
81824;No gesture
16156;Doing other things
34158;Sliding Two Fingers Left
37404;Doing other things
112618;Doing other things
1422;Doing other things
26362;Zooming In With Two Fingers
108586;Zooming Out With Two Fingers
112624;Doing other things
112475;Thumb Up
35445;Zooming In With Two Fingers
64346;Zooming In With Two Fingers
9760;Doing other things
123598;Zooming Out With Two Fingers
1393;No gesture
139553;Zooming In With Two Fingers
20963;Zooming Out With Two Fingers
85850;Sliding Two Fingers Right
